,id,threadId,published_at,author_name,text,likeCount,is_reply,cleaned,video_id,video_published_at
0,Ugxsl27XdXQX30ElaYx4AaABAg,Ugxsl27XdXQX30ElaYx4AaABAg,2021-02-08T05:18:32Z,John Rose,"The Paris agreements make no sense if China and India are not following them...  The US and some European countries have recently met their agreement goals and exceed the goals...just about 30% reduction in CO... However, China is at 5 TIMES the CO output than in 1978..due to burning COAL at an all time high... They are burning coal to produce cheap power...this is great for industry and production as well as consumer usage...Ultimately this will increase the China's GNP and GDP... While other countries are trying to go green, this is a burden on industry and very costly, China continues to cheat and disregard the Paris agreements.. Ultimate goal is to increase it's YEN market value....",0.0,0.0,,Sr2J_1J9w3A,
1,UgwkgK1zWJAx2mrWE2Z4AaABAg,UgwkgK1zWJAx2mrWE2Z4AaABAg,2021-02-07T17:11:51Z,Em Eye Kay,"""Pull out"" lol",0.0,0.0,,Sr2J_1J9w3A,
2,Ugz8wYCOr9uuM2Q_met4AaABAg,Ugz8wYCOr9uuM2Q_met4AaABAg,2021-02-05T16:27:48Z,Rackets,LMAO...REALITY is here  https://www.youtube.com/watch?v=cVkAsPizAbU,0.0,0.0,,Sr2J_1J9w3A,
3,Ugy3AzB-ogG4Si0moup4AaABAg,Ugy3AzB-ogG4Si0moup4AaABAg,2021-02-04T16:24:59Z,riptiderobin 16,"Please sheep open your eyes and watch a BETTER explanation, not tainted with liberal guilt: https://www.youtube.com/watch?v=Bkar4jn3JWw&t=0s",0.0,0.0,,Sr2J_1J9w3A,
4,UgxJh8rilXKaZqpURvN4AaABAg,UgxJh8rilXKaZqpURvN4AaABAg,2021-02-02T23:56:10Z,Smucking Awesome,"The carbon emission goals are not nearly ambitious enough. The overall goal in the Paris Agreement — to keep global warming “well below 2 degrees Celsius” — is ambitious. The problem is that the nationally determined contributions (the commitments) are not. Scientists predict that, even if the countries in the Paris Agreement honor their carbon reduction commitments, the Earth’s temperature will increase by 3 degrees Celsius by the end of century compared to pre-industrial levels. Climatologists have long said that just a 2 degree increase will cause a worldwide catastrophe. The participating countries need to significantly increase their individual carbon reduction efforts.

The agreement doesn’t include a global tax on carbon. If recent history has taught us anything, it’s that fear of global disaster isn’t enough to change people’s behaviour. Money always moves the needle, however. In terms of global warming, that means instituting a global tax on carbon. Without a carbon tax, there is no financial incentive for countries to stop using cheap fossil fuels and transition to more sustainable sources (which means countries will never do it).

There’s no way to punish countries that don’t honor the agreement. One of Donald Trump’s first acts as United States president was to leave the Paris Agreement. The tragedy isn’t that the U.S. will no longer honor the accord (although it is a major setback). The tragedy is that the U.S. was allowed to do it with zero repercussions. The Paris Agreement doesn’t include any punishments for countries that don’t honor their commitments. Countries can continue polluting and burning fossil fuels and emitting CO2 at alarming rates without having to suffer any negative consequences. There is no regulatory body to keep countries accountable and check if they’re meeting their goals. There are no sanctions or monetary fines for countries that don’t. Nothing.

There aren’t enough incentives for investing in sustainability. Research has shown the most effective way to address climate change is to take investment dollars away from companies that harm our planet, and to invest that money in companies that actively promote environment and social sustainability. Unfortunately, the Paris Agreement does little to encourage this redirection of funds.

The agreement gives us false hope. This is perhaps the most sinister aspect of the Paris Agreement. Politicians and industry leaders from around the world have celebrated the agreement as a monumental step toward addressing climate change (ha!). This gives people the false perception the problem is solved and we don’t need to do anything else, which couldn’t be any further from the truth.",0.0,0.0,,Sr2J_1J9w3A,
5,UgwI_ax635TRzx_jiAN4AaABAg,UgwI_ax635TRzx_jiAN4AaABAg,2021-02-02T12:19:53Z,Travis james,And the US pays the bill while we lose half a million jobs so Biden stays in good graces with china cuz they own him and Hunter.,2.0,0.0,,Sr2J_1J9w3A,
6,UgzsWNi_n9lSpFllXZ14AaABAg,UgzsWNi_n9lSpFllXZ14AaABAg,2021-01-29T03:26:17Z,Nightman,"Horrible decision to rejoin this massive waste of money. Everyone please educate yourself on  this agreement. Branch out to different sources, this video does not cover the accord correctly.",2.0,0.0,,Sr2J_1J9w3A,
7,Ugzdvh1zxDv8WBkBdl54AaABAg,Ugzdvh1zxDv8WBkBdl54AaABAg,2021-01-29T01:38:51Z,Tarredandfeatherable,China can increase their emissions every single year until 2030... yeah great climate agreement you got there.  The US has crushing debt and a stagnant economy and just got smacked with a 3rd world plague.  Climate change is going to take a permanent back seat in the years ahead when inflation kicks in and people are really struggling.  This video will be a historical reminder of how people with no real problems used to invent solutions for problems that really weren't there.,1.0,0.0,,Sr2J_1J9w3A,
8,Ugw9lNOida_rCvawsop4AaABAg,Ugw9lNOida_rCvawsop4AaABAg,2021-01-28T16:32:06Z,Nick Schroeder,"1) By reflecting away 30% of ISR the albedo, which would not exist w/o the atmosphere, makes the earth cooler than it would be without the atmosphere like that reflective panel set on the dash. Remove the atmosphere/GHGs and the earth becomes much like the moon, a 0.1 albedo, 20% more kJ/h, hot^3 on the lit side, cold^3 on the dark. Nikolov, Kramm (U of AK) and UCLA Diviner mission all tacitly agree. 

2) the GHG up/down welling, “trapping”/”back” radiating/delaying, 100 % efficient, perpetual warming loop requires ""extra"" energy which it gets from 

3) the terrestrial surface radiating that ""extra"" energy as a near ideal .95 emissivity black body which

4) it cannot do because of the non-radiative heat transfer processes of the contiguous atmospheric molecules. 

1+2+3+4 = 0 Greenhouse Effect + 0 Greenhouse gas warming + 0 man caused climate change. 

All science backed up by experiment, the gold standard of classical science.
https://www.linkedin.com/posts/nicholas-schroeder-55934820_climatechange-greenhouse-co2-activity-6749812735246254080-bc6K

version 1.0 012821",1.0,0.0,,Sr2J_1J9w3A,
9,UgzHgKjE8wln4wxcLFd4AaABAg,UgzHgKjE8wln4wxcLFd4AaABAg,2021-01-28T15:43:08Z,Hilda Robert Rodriguez,"Man thinks he can bring the solution to climate change. Man's attempts will fail, they always do. God is the creator of the earth and its climate. This earth as we know it is going away. Turn to Creator God and receive His salvation and wisdom.",1.0,0.0,,Sr2J_1J9w3A,
10,Ugz3l2qNtCT018cJdxZ4AaABAg,Ugz3l2qNtCT018cJdxZ4AaABAg,2021-01-25T08:34:06Z,Poker Joker,How about humans stop breeding so much. Truth is the New Hate Speech.,0.0,0.0,,Sr2J_1J9w3A,
11,Ugz3l2qNtCT018cJdxZ4AaABAg,Ugz3l2qNtCT018cJdxZ4AaABAg,2021-02-02T01:30:39Z,Nick Canuso,Covid 19 “vaccine” will solve that don’t worry,0.0,1.0,,Sr2J_1J9w3A,
12,Ugw3qtGZ47u7sYr_XMB4AaABAg,Ugw3qtGZ47u7sYr_XMB4AaABAg,2021-01-25T02:55:24Z,Chaim Gylmir,Funny how channels like this spilling out policies do not post the links to their sources. What do you have to lose if you're telling facts?,2.0,0.0,,Sr2J_1J9w3A,
13,UgzxoD9jiGXBfca3U8J4AaABAg,UgzxoD9jiGXBfca3U8J4AaABAg,2021-01-24T22:09:12Z,Joshua Speedy,"The thing people miss about this is that weather the us is in it or not, it changes nothing it is a goal, as you said, and the only thing it requires of the countries in it, being transfer of billions of dollars, is basically a system that harbors money laundering.",0.0,0.0,,Sr2J_1J9w3A,
14,Ugx1Oj_cnwyivK0-TQN4AaABAg,Ugx1Oj_cnwyivK0-TQN4AaABAg,2021-01-24T15:56:36Z,paa xxx,"Since the ice age, has the world not been warming up naturally???",2.0,0.0,,Sr2J_1J9w3A,
15,Ugx1Oj_cnwyivK0-TQN4AaABAg,Ugx1Oj_cnwyivK0-TQN4AaABAg,2021-02-02T00:03:35Z,Shahzaib,"There's a significant difference between how much the earth has been warming up naturally and how much the earth has actually warmed up by, due to the effect of burning fossil fuels. You gotta remember that the atmosphere is only about a 100 km thick, and the gigantic industries that we've built up over the years have a sizable influence on this planet. 
We quite literally have the ability to shape our planet with long term actions, which is why a transition away from fossil fuels is necessary",0.0,1.0,,Sr2J_1J9w3A,
16,Ugx1Oj_cnwyivK0-TQN4AaABAg,Ugx1Oj_cnwyivK0-TQN4AaABAg,2021-01-27T18:05:56Z,koltonchen,Definitely has and will definitely continue to do so regardless of human activity/interference,1.0,1.0,,Sr2J_1J9w3A,
17,Ugw_zPkyN3AwXwVXIut4AaABAg,Ugw_zPkyN3AwXwVXIut4AaABAg,2021-01-24T12:39:09Z,avatar 2818,So is ok that Mexico open this year more coal mines also USA and china I guess,2.0,0.0,,Sr2J_1J9w3A,
18,Ugzq1LXcrv_trTOG-eV4AaABAg,Ugzq1LXcrv_trTOG-eV4AaABAg,2021-01-23T11:57:38Z,Cloud Burst,Finally found an overview that does not appear to be biased in one direction. THANK YOU!!!!!,0.0,0.0,,Sr2J_1J9w3A,
19,Ugzq1LXcrv_trTOG-eV4AaABAg,Ugzq1LXcrv_trTOG-eV4AaABAg,2021-01-25T04:21:23Z,Jonathan Larios,the guy talking in the video just said he is dissapointed we pulled out of the agreement and that we are not progressing this guy is not talking in a neutral way.,2.0,1.0,,Sr2J_1J9w3A,
20,UgwjwuGjw3_B9G6aLxF4AaABAg,UgwjwuGjw3_B9G6aLxF4AaABAg,2021-01-23T08:46:58Z,Joey Clayson,Who's watching this after Biden rejoined the Accord?,12.0,0.0,,Sr2J_1J9w3A,
21,Ugxw33eagH7fbxcR-EV4AaABAg,Ugxw33eagH7fbxcR-EV4AaABAg,2021-01-22T21:55:03Z,ToxicTiki,Ridiculous agreement. All cost. No accountability.,4.0,0.0,,Sr2J_1J9w3A,
